exer;outre_mer;reg_code;reg_name;dep_code;dep_name;epci_code;epci_name;tranche_population;rural;montagne;touristique;tranche_revenu_imposable_par_habitant;qpv;com_code;com_name;categ;siren;insee;lbudg;agregat;montant_bp;montant_ba;montant_flux;montant;montant_en_millions;ptot;euros_par_habitant;presence_budget;ordre_analyse1_section1;ordre_analyse1_section2;ordre_analyse1_section3;ordre_analyse2_section1;ordre_analyse2_section2;ordre_analyse2_section3;ordre_analyse3_section1;ordre_analyse3_section2;ordre_analyse3_section3;ordre_analyse4_section1;annee_join;ptot_n
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;244400453;Communauté de communes Pays de Blain Communauté;7;Non;Non;Non;1;Non;44015;Blain;Commune;214400152;44015;BLAIN;Achats et charges externes;1697886.25;188707.43;1832.64;1884761.04;1.88476104;9787;192.57801573515889;1;;;;;3;;;;;;2017;10360
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;200067866;Communauté de communes Sèvre et Loire;3;Oui;Non;Non;1;Non;44016;La Boissière-du-Doré;Commune;214400160;44016;BOISSIERE-DU-DORE (LA );Achats et charges externes;217760.37;9750.49;0.0;227510.86;0.22751085999999998;1054;215.85470588235293;1;;;;;3;;;;;;2017;1116
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;244400552;Communauté de communes du Pays d'Ancenis;6;Non;Non;Non;1;Non;44180;Vallons-de-l'Erdre;Commune;214400178;44017;BONNOEUVRE;Achats et charges externes;93717.86;90.84;0.0;93808.7;0.0938087;582;161.18333333333334;1;;;;;3;;;;;;2017;6664
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;244400404;Nantes Métropole;6;Non;Non;Non;2;Non;44018;Bouaye;Commune;214400186;44018;BOUAYE;Achats et charges externes;1481102.4;0.0;0.0;1481102.4;1.4811024;7069;209.52078087423962;1;;;;;3;;;;;;2017;8281
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;200072734;Communauté de communes Estuaire et Sillon;3;Oui;Non;Non;2;Non;44019;Bouée;Commune;214400194;44019;BOUEE;Achats et charges externes;193389.99;2320.29;0.0;195710.28;0.19571028;932;209.98957081545063;1;;;;;3;;;;;;2017;1084
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;244400404;Nantes Métropole;8;Non;Non;Non;2;Non;44020;Bouguenais;Commune;214400202;44020;BOUGUENAIS;Achats et charges externes;4568370.43;113883.88;165.49;4682088.82;4.682088820000001;19259;243.11173061945067;1;;;;;3;;;;;;2017;20732
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;200067635;Communauté d'agglomération Clisson Sèvre et Maine Agglo;4;Non;Non;Non;1;Non;44022;Boussay;Commune;214400228;44022;BOUSSAY;Achats et charges externes;465890.03;83327.98;0.0;549218.01;0.54921801;2697;203.6403448275862;1;;;;;3;;;;;;2017;2824
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;244400453;Communauté de communes Pays de Blain Communauté;4;Oui;Non;Non;1;Non;44023;Bouvron;Commune;214400236;44023;BOUVRON;Achats et charges externes;592821.04;25975.86;0.0;618796.9;0.6187969;3114;198.7144829800899;1;;;;;3;;;;;;2017;3114
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;244400404;Nantes Métropole;4;Oui;Non;Non;2;Non;44024;Brains;Commune;214400244;44024;BRAINS;Achats et charges externes;389085.21;0.0;0.0;389085.21;0.38908521;2755;141.22875136116153;1;;;;;3;;;;;;2017;2868
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;200072734;Communauté de communes Estuaire et Sillon;5;Oui;Non;Non;1;Non;44025;Campbon;Commune;214400251;44025;CAMPBON;Achats et charges externes;787737.07;0.0;0.0;787737.07;0.7877370699999999;4067;193.68996065896238;1;;;;;3;;;;;;2017;4072
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;244400404;Nantes Métropole;8;Non;Non;Non;3;Non;44026;Carquefou;Commune;214400269;44026;CARQUEFOU;Achats et charges externes;3605896.8;899616.31;0.0;4505513.11;4.505513110000001;19359;232.73480603336952;1;;;;;3;;;;;;2017;21029
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;244400503;Communauté de communes d'Erdre et Gesvres;4;Oui;Non;Non;2;Non;44027;Casson;Commune;214400277;44027;CASSON;Achats et charges externes;459355.04;1814.29;0.0;461169.33;0.46116933000000004;2175;212.03187586206897;1;;;;;3;;;;;;2017;2583
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;244400552;Communauté de communes du Pays d'Ancenis;5;Oui;Non;Non;2;Non;44028;Le Cellier;Commune;214400285;44028;CELLIER (LE);Achats et charges externes;1070880.06;0.0;0.0;1070880.06;1.0708800600000001;3789;282.6286777513856;1;;;;;3;;;;;;2017;4099
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;244400644;Communauté d'agglomération de la Région Nazairienne et de l'Estuaire (CARENE);5;Non;Non;Non;1;Non;44030;La Chapelle-des-Marais;Commune;214400301;44030;LA CHAPELLE-DES-MARAIS;Achats et charges externes;897364.35;0.0;0.0;897364.35;0.8973643499999999;4096;219.08309326171874;1;;;;;3;;;;;;2017;4481
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;200072726;Communauté de communes Châteaubriant-Derval;3;Oui;Non;Non;1;Non;44031;La Chapelle-Glain;Commune;214400319;44031;CHAPELLE-GLAIN (LA);Achats et charges externes;145758.7;50256.5;0.0;196015.2;0.1960152;831;235.87870036101086;1;;;;;3;;;;;;2017;823
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;200067866;Communauté de communes Sèvre et Loire;4;Oui;Non;Non;2;Non;44032;La Chapelle-Heulin;Commune;214400327;44032;CHAPELLE-HEULIN (LA );Achats et charges externes;655730.79;375614.82;0.0;1031345.61;1.03134561;3279;314.5305306495883;1;;;;;3;;;;;;2017;3491
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;200072734;Communauté de communes Estuaire et Sillon;4;Non;Non;Non;2;Non;44033;La Chapelle-Launay;Commune;214400335;44033;CHAPELLE-LAUNAY (LA );Achats et charges externes;473873.41;2873.59;0.0;476747.0;0.476747;2934;162.4904567143831;1;;;;;3;;;;;;2017;3285
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;244400404;Nantes Métropole;8;Non;Non;Non;2;Non;44035;La Chapelle-sur-Erdre;Commune;214400350;44035;CHAPELLE-SUR-ERDRE (LA );Achats et charges externes;2873422.76;292214.48;0.0;3165637.24;3.16563724;19704;160.65962444173772;1;;;;;3;;;;;;2017;20813
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;200072726;Communauté de communes Châteaubriant-Derval;7;Non;Non;Non;1;Oui;44036;Châteaubriant;Commune;214400368;44036;CHATEAUBRIANT;Achats et charges externes;3198382.59;126430.31;25999.04;3298813.86;3.2988138599999997;12484;264.2433402755527;1;;;;;3;;;;;;2017;12629
