exer;outre_mer;reg_code;reg_name;dep_code;dep_name;epci_code;epci_name;tranche_population;rural;montagne;touristique;tranche_revenu_imposable_par_habitant;qpv;com_code;com_name;categ;siren;insee;ident;lbudg;type_de_budget;nomen;agregat;montant;montant_en_millions;ptot;euros_par_habitant;presence_budget;cbudg;ordre_analyse1_section1;ordre_analyse1_section2;ordre_analyse1_section3;ordre_analyse2_section1;ordre_analyse2_section2;ordre_analyse2_section3;ordre_analyse3_section1;ordre_analyse3_section2;ordre_analyse3_section3;ordre_analyse4_section1;annee_join;ptot_n
2020;Non;52;Pays de la Loire;44;Loire-Atlantique;200067346;Communauté d'agglomération Pornic Agglo Pays de Retz;6;Non;Non;Non;1;Non;44005;Chaumes-en-Retz;Commune;200058121;44005;2,00058E+13;IMMEUBLE COMMERCIAL CHAUMES-EN-RETZ;Budget annexe;M14;Dépenses de fonctionnement;12345.12;0.012345120000000001;6868;1.797483983692487;1;3;;4;;;1;2;;;;;2020;7294
2020;Non;52;Pays de la Loire;44;Loire-Atlantique;244400552;Communauté de communes du Pays d'Ancenis;6;Non;Non;Non;1;Non;44213;Loireauxence;Commune;200059020;44213;2,00059E+13;LOIREAUXENCE;Budget principal;M14;Dépenses de fonctionnement;5849008.97;5.84900897;7659;763.6778913696305;1;1;;4;;;1;2;;;;;2020;7642
2020;Non;52;Pays de la Loire;44;Loire-Atlantique;244400552;Communauté de communes du Pays d'Ancenis;6;Non;Non;Non;1;Non;44213;Loireauxence;Commune;200059020;44213;2,00059E+13;BATIMENTS SERVICES LOIREAUXENCE;Budget annexe;M14;Dépenses de fonctionnement;49090.98;0.049090980000000006;7659;6.409580885233059;1;3;;4;;;1;2;;;;;2020;7642
2020;Non;52;Pays de la Loire;44;Loire-Atlantique;244400552;Communauté de communes du Pays d'Ancenis;6;Non;Non;Non;1;Non;44213;Loireauxence;Commune;200059020;44213;2,00059E+13;COMMERCES LOIREAUXENCE;Budget annexe;M14;Dépenses de fonctionnement;26316.29;0.026316290000000003;7659;3.4359955607781694;1;3;;4;;;1;2;;;;;2020;7642
2020;Non;52;Pays de la Loire;44;Loire-Atlantique;244400552;Communauté de communes du Pays d'Ancenis;6;Non;Non;Non;1;Non;44213;Loireauxence;Commune;200059020;44213;2,00059E+13;LOT DE L'ETANG LOIREAUXENCE;Budget annexe;M14;Dépenses de fonctionnement;747.99;0.00074799;7659;0.09766157461809635;1;3;;4;;;1;2;;;;;2020;7642
2020;Non;52;Pays de la Loire;44;Loire-Atlantique;244400552;Communauté de communes du Pays d'Ancenis;6;Non;Non;Non;1;Non;44213;Loireauxence;Commune;200059020;44213;2,00059E+13;RESERVES IMMOBILIERES LOIREAUXENCE;Budget annexe;M14;Dépenses de fonctionnement;3971.06;0.00397106;7659;0.5184828306567437;1;3;;4;;;1;2;;;;;2020;7642
2020;Non;52;Pays de la Loire;44;Loire-Atlantique;244400552;Communauté de communes du Pays d'Ancenis;6;Non;Non;Non;1;Non;44180;Vallons-de-l'Erdre;Commune;200078079;44180;2,00078E+13;VALLONS-DE-L'ERDRE;Budget principal;M14;Dépenses de fonctionnement;4814027.08;4.81402708;6676;721.0945296584781;1;1;;4;;;1;2;;;;;2020;6664
2020;Non;52;Pays de la Loire;44;Loire-Atlantique;244400552;Communauté de communes du Pays d'Ancenis;6;Non;Non;Non;1;Non;44180;Vallons-de-l'Erdre;Commune;200078079;44180;2,00078E+13;PANNEAUX PHOTOVOLTAIQUES VALLON ERDRE;Budget annexe;M4;Dépenses de fonctionnement;1197.66;0.0011976600000000001;6676;0.17939784301977232;1;3;;4;;;1;2;;;;;2020;6664
2020;Non;52;Pays de la Loire;44;Loire-Atlantique;244400552;Communauté de communes du Pays d'Ancenis;6;Non;Non;Non;1;Non;44180;Vallons-de-l'Erdre;Commune;200078079;44180;2,00078E+13;LOTISSEMENT LES CONILLETS;Budget annexe;M14;Dépenses de fonctionnement;537.5;0.0005375;6676;0.0805122828040743;1;3;;4;;;1;2;;;;;2020;6664
2020;Non;52;Pays de la Loire;44;Loire-Atlantique;244400552;Communauté de communes du Pays d'Ancenis;6;Non;Non;Non;1;Non;44180;Vallons-de-l'Erdre;Commune;200078079;44180;2,00078E+13;LOTISSEMENT CHAMP DU PUITS VALLON ERDRE;Budget annexe;M14;Dépenses de fonctionnement;219380.2;0.21938020000000003;6676;32.86102456560815;1;3;;4;;;1;2;;;;;2020;6664
